,College,Conference,Capacity,Opened
Skelly Field,Alabama at Birmingham,CUSA,"71,594",1927
Legion Field,UCLA,Pac 12,"89,702",1921
Rose Bowl,Umass,MAC,"68,756",2002
Gillette Stadium,Massachusetts,Independent,"17,000",1965
McGuirk Stadium,Charlotte,CUSA,"15,314",2013
Jerry Richardson Stadium,Nevada-Las Vegas,Mountain West,"36,800",1971
Sam Boyd Stadium,Southern California,Pac 12,"93,607",1923
Los Angeles Coliseum,Utah,Pac 12,"45,017",1998
Rice Eccles Stadium,Utah State,Mountain West,"25,513",1968
Maverik Stadium,Texas-El Paso,CUSA,"51,500",1963
Sun Bowl Stadium,Texas-San Antonio,CUSA,"65,000",1993
Alamodome,Vanderbilt,SEC,"40,550",1922
Vanderbilt Stadium,Virginia,ACC,"61,500",1931
Scott Stadium,Virginia Tech,ACC,"66,233",1965
Lane Stadium,Wake Forest,ACC,"31,500",1968
BB&T Field,Washington,Pac 12,"70,138",1920
Husky Stadium,Washington State,Pac 12,"35,117",1972
Martin Stadium,West Virginia,Big 12,"60,000",1980
Mountaineer Field,Western Kentucky,CUSA,"22,113",1968
LT Smith Stadium,Western Michigan,MAC,"30,200",1939
Waldo Stadium,Wisconsin,Big Ten,"80,321",1917
Camp Randall Stadium,Wyoming,Mountain West,"29,181",1950
War Memorial Stadium,Liberty,Independent,"25,000",1937
