School,Conference,Coach,Graduated from NCAA,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout
Nevada,Mt. West,Jay Norvell,YES,"$500,000 ","$500,000 ","$210,000 ",$0 ,$0 ,"$900,000 "
Nevada-Las Vegas,Mt. West,Tony Sanchez,YES,"$600,000 ","$600,000 ","$260,000 ",$0 ,$0 ,"$950,000 "
New Mexico,Mt. West,Bob Davie,NO,"$822,690 ","$823,740 ","$340,000 ",$0 ,$0 ,"$1,303,294 "
New Mexico State,Ind.,Doug Martin,YES,"$419,640 ","$419,640 ","$220,000 ","$20,000 ",$0 ,"$1,532,790 "
North Carolina,ACC,Larry Fedora,NO,"$2,575,000 ","$2,575,000 ","$900,000 ","$50,000 ",$0 ,"$12,215,625 "
North Carolina State,ACC,Dave Doeren,NO,"$3,000,000 ","$3,000,000 ","$1,350,000 ","$275,000 ",$0 ,"$6,125,000 "
North Texas,C-USA,Seth Littrell,YES,"$1,425,000 ","$1,425,000 ","$580,000 ","$130,000 ",$0 ,"$4,425,000 "
Northern Illinois,MAC,Rod Carey,YES,"$633,460 ","$633,460 ","$205,000 ","$42,500 ",$0 ,"$1,822,918 "
Northwestern,Big Ten,Pat Fitzgerald,YES,"$3,619,775 ","$3,619,775 ",--,--,$0 ,--
Notre Dame,Ind.,Brian Kelly,YES,"$2,129,638 ","$2,129,638 ",--,--,$0 ,--
Ohio,MAC,Frank Solich,YES,"$580,331 ","$580,331 ","$333,833 ","$60,772 ",$0 ,"$558,275 "
Ohio State,Big Ten,Urban Meyer,NO,"$7,600,000 ","$7,600,000 ","$775,000 ","$350,000 ",$0 ,"$38,058,402 "
Oklahoma,Big 12,Lincoln Riley,YES,"$4,800,000 ","$4,800,000 ","$700,000 ","$180,000 ",$0 ,"$20,833,333 "
Oklahoma State,Big 12,Mike Gundy,YES,"$5,000,000 ","$5,000,000 ","$900,000 ","$62,500 ",$0 ,"$16,250,000 "
Old Dominion,C-USA,Bobby Wilder,NO,"$654,667 ","$654,667 ","$504,895 ",$0 ,$0 ,"$1,200,000 "
Oregon,Pac-12,Mario Cristobal,YES,"$2,500,000 ","$2,500,000 ","$1,825,000 ",--,$0 ,"$5,208,333 "
Oregon State,Pac-12,Jonathan Smith,YES,"$1,900,008 ","$1,900,008 ","$1,275,000 ",--,$0 ,"$4,037,517 "
Penn State,Big Ten,James Franklin,YES,"$4,800,000 ","$4,800,000 ","$1,000,000 ","$300,000 ",$0 ,"$18,375,000 "
Pittsburgh,ACC,Pat Narduzzi,NO,"$3,017,718 ","$3,017,718 ",--,--,$0 ,--
Purdue,Big Ten,Jeff Brohm,YES,"$3,800,000 ","$3,800,000 ","$1,290,000 ","$180,000 ",$0 ,"$21,516,667 "
Rice,C-USA,Mike Bloomgren,YES,--,--,--,--,$0 ,--
Rutgers,Big Ten,Chris Ash,NO,"$2,200,000 ","$2,200,000 ","$960,000 ","$50,000 ",$0 ,"$10,350,000 "
San Diego State,Mt. West,Rocky Long,YES,"$872,576 ","$873,576 ","$720,000 ","$95,000 ",$0 ,"$447,412 "
San Jose State,Mt. West,Brent Brennan,YES,"$590,424 ","$590,424 ","$210,000 ",$0 ,$0 ,"$1,476,060 "
South Alabama,Sun Belt,Steve Campbell,YES,"$600,000 ","$600,000 ","$295,000 ",--,$0 ,"$918,333 "
South Carolina,SEC,Will Muschamp,YES,"$4,200,000 ","$4,200,000 ","$1,400,000 ","$100,000 ",$0 ,"$18,650,000 "
South Florida,AAC,Charlie Strong,NO,"$1,000,000 ","$1,000,000 ","$815,000 ","$70,000 ",$0 ,"$192,308 "
Southern California,Pac-12,Clay Helton,YES,"$2,625,965 ","$2,625,965 ",--,--,$0 ,--
Southern Methodist,AAC,Sonny Dykes,YES,--,--,--,--,$0 ,--
Southern Mississippi,C-USA,Jay Hopson,YES,"$500,000 ","$500,000 ","$870,000 ","$15,000 ",$0 ,"$1,583,333 "
Stanford,Pac-12,David Shaw,YES,"$4,311,543 ","$4,311,543 ",--,--,$0 ,--
Syracuse,ACC,Dino Babers,YES,"$2,401,206 ","$2,401,206 ",--,--,$0 ,--
Tennessee,SEC,Jeremy Pruitt,YES,"$3,846,000 ","$3,846,000 ","$1,200,000 ",--,$0 ,"$11,780,000 "
Texas,Big 12,Tom Herman,NO,"$5,500,000 ","$5,500,000 ","$725,000 ","$75,000 ",$0 ,"$15,416,667 "
Texas A&M,SEC,Jimbo Fisher,YES,"$7,500,000 ","$7,500,000 ","$1,350,000 ",--,$0 ,"$68,125,000 "
Texas Christian,Big 12,Gary Patterson,YES,"$4,840,717 ","$4,840,717 ",--,--,$0 ,--
Texas State,Sun Belt,Everett Withers,YES,"$700,000 ","$700,000 ","$70,833 ",$0 ,$0 ,"$773,958 "
Texas Tech,Big 12,Kliff Kingsbury,YES,"$3,703,975 ","$3,703,975 ","$1,500,000 ","$25,000 ",$0 ,"$4,231,250 "
Texas-El Paso,C-USA,Dana Dimel,YES,"$700,000 ","$700,000 ","$741,665 ",--,$0 ,"$2,991,667 "
Texas-San Antonio,C-USA,Frank Wilson,NO,"$1,100,000 ","$1,100,000 ","$185,000 ","$17,500 ",$0 ,"$3,562,500 "
Toledo,MAC,Jason Candle,NO,"$1,125,000 ","$1,125,000 ","$585,000 ","$210,000 ",$0 ,"$3,558,333 "
Troy,Sun Belt,Neal Brown,YES,"$810,000 ","$810,000 ","$490,000 ","$100,000 ",$0 ,"$2,911,667 "
Tulane,AAC,Willie Fritz,NO,"$1,629,000 ","$1,629,000 ",--,--,$0 ,--
Tulsa,AAC,Philip Montgomery,NO,"$1,518,177 ","$1,518,177 ",--,--,$0 ,--
UCLA,Pac-12,Chip Kelly,NO,"$3,300,000 ","$3,300,000 ","$1,085,000 ",--,$0 ,"$9,000,000 "
Utah,Pac-12,Kyle Whittingham,YES,"$3,787,917 ","$3,787,917 ","$935,000 ","$279,167 ",$0 ,"$9,250,000 "
Utah State,Mt. West,Matt Wells,YES,"$900,000 ","$900,000 ","$765,000 ","$65,000 ",$0 ,"$2,122,917 "
Vanderbilt,SEC,Derek Mason,NO,"$2,812,523 ","$2,812,523 ",--,--,$0 ,--
Virginia,ACC,Bronco Mendenhall,YES,"$3,550,000 ","$3,550,000 ","$2,165,000 ","$75,000 ",$0 ,"$18,193,750 "
Virginia Tech,ACC,Justin Fuente,NO,"$4,000,000 ","$4,000,000 ","$435,000 ","$75,000 ",$0 ,"$15,000,000 "
Wake Forest,ACC,Dave Clawson,NO,"$1,831,580 ","$1,831,580 ",--,--,$0 ,--
Washington,Pac-12,Chris Petersen,NO,"$4,375,000 ","$4,377,500 ","$1,050,000 ","$300,000 ",$0 ,"$26,354,166 "
Washington State,Pac-12,Mike Leach,YES,"$3,500,000 ","$3,500,000 ","$725,000 ","$75,000 ",$0 ,"$4,900,000 "
West Virginia,Big 12,Dana Holgorsen,NO,"$3,605,000 ","$3,617,500 ","$1,000,000 ","$90,000 ",$0 ,"$7,150,000 "
Western Kentucky,C-USA,Mike Sanford Jr.,YES,"$800,000 ","$805,850 ","$400,000 ",$0 ,$0 ,"$1,200,000 "
Western Michigan,MAC,Tim Lester,YES,"$800,000 ","$800,000 ","$346,500 ","$39,250 ",$0 ,"$800,000 "
Wisconsin,Big Ten,Paul Chryst,YES,"$3,750,000 ","$3,750,000 ",--,"$290,000 ",$0 ,"$6,000,000 "
Wyoming,Mt. West,Craig Bohl,YES,"$1,412,000 ","$1,412,000 ","$450,000 ","$236,000 ",$0 ,"$8,016,667 "
